id,topup_plan_type,company_name,employee_mobile_no,employee_code,work_email,grade_carde,employee_type,employee_name,designation,doj_organization,work_location,dependends,created_at,updated_at
1,employeeTopUp,gfvhb,1234567890,tfvgbh,fcvgbh@gmail.com,tfgh,fctgvyhbjn,tfgyhuj,vgbhjn,2022-11-02 05:30:00+05:30,trfgyhj,1,2022-11-15 10:16:04.148+05:30,2022-11-15 10:16:04.148+05:30
2,employeeTopUp,redftgyh,1234567890,drtfgyu,dfgh@gmail.com,trfgyh,dcfgvh,fcgvhb,trfgyh,2013-06-12 05:30:00+05:30,fcgvhbj,2,2022-11-15 10:22:10.646+05:30,2022-11-15 10:22:10.646+05:30
3,employeeTopUp,fgcvbhj,1234567890,xdcfvgbh,redtfgyuh@gmail.com,rftgyuhj,rdtfgyuhj,ftrgyh,ftgh,2016-02-09 05:30:00+05:30,rdftgyh,2,2022-11-15 10:28:05.744+05:30,2022-11-15 10:28:05.744+05:30
4,employeeTopUp,ftghjk,1234567890,fcgvhb,cftgvh@gmail.com,rdftgyh,rftgyhj,fcgvhbj,ftgyhj,2016-06-07 05:30:00+05:30,rcdftvgyhbj,1,2022-11-15 10:30:00.825+05:30,2022-11-15 10:30:00.825+05:30
5,employeeTopUp,tfgyuhj,1234567890,drxcftgvhj,gfcvh@gmail.com,trfgyhj,fgcvhjbnk,trdfgyuh,tgyuhji,2022-11-02 05:30:00+05:30,rtdfgyhj,1,2022-11-15 10:32:36.81+05:30,2022-11-15 10:32:36.81+05:30
6,employeeTopUp,vtgyhu,1234567890,rdftgh,fcgvbh@4dr5ftgy.com,fctvgyuh,cftgvyh,vyguh,gcfvhbj,2022-11-02 05:30:00+05:30,1fcvgbh,1,2022-11-15 10:35:07.229+05:30,2022-11-15 10:35:07.229+05:30
7,employeeTopUp,gfvbhj,1234567890,cf,gvbh@gmaiol.com,tfgh,fcvgbh,xdrcfgv,ftvgbhjn,2022-11-09 05:30:00+05:30,fcgvhbjn,2,2022-11-15 10:58:34.973+05:30,2022-11-15 10:58:34.973+05:30
8,employeeTopUp,ghbjnk,1234567890,fcgvhbj,trdfgyh@gmail.com,fcvghbj,ersdtfgyh,fgcvgbhjnk,gfvhbj,2022-11-09 05:30:00+05:30,cfvgbhj,1,2022-11-15 11:17:01.043+05:30,2022-11-15 11:17:01.043+05:30
9,employeeTopUp,fcgvhb,1234567890,redftg,rdfg@gmail.com,vgfbhj,fctvgh,xdrcfg,gvfhb,2022-11-09 05:30:00+05:30,fcgvbh,1,2022-11-15 11:20:05.572+05:30,2022-11-15 11:20:05.572+05:30
10,employeeTopUp,fcvgghb,1234567890,fgy,gvyh@gmail.com,vgfh,vgbh,cfvgh,vghbj,2022-11-10 05:30:00+05:30,ctfgyhu,1,2022-11-15 11:54:18.624+05:30,2022-11-15 11:54:18.624+05:30
11,employeeTopUp,hgbjk,1234567890,rdftgy,tfgyu@gmail.com,tyguhj,tfygh,vghbjnk,ytgh,2022-11-03 05:30:00+05:30,fyghj,1,2022-11-15 16:44:31.879+05:30,2022-11-15 16:44:31.879+05:30
12,employeeTopUp,gbhj,1234567890,vgyhjk,ygh@gmail.com,bhnj,gyuhij,yvghj,tyguhj,2022-11-04 05:30:00+05:30,yguhji,1,2022-11-15 17:05:15.514+05:30,2022-11-15 17:05:15.514+05:30
13,employeeTopUp,sdfghj,987654321,123,asdfg@dfg.gh,dfg,permanent,Surdarshan,Developer,2022-11-16 05:30:00+05:30,bhandup,1,2022-11-16 11:48:42.39+05:30,2022-11-16 11:48:42.39+05:30
14,employeeTopUp,abbbdcee,1234567890,123,aa@gmail.gmail.com,abcd,Dont Know,Abcdef,Why this required,2022-11-16 05:30:00+05:30,mumbai,4,2022-11-16 13:07:36.66+05:30,2022-11-16 13:07:36.66+05:30
15,,,,,,,,,,,,,2022-11-16 13:09:15.182+05:30,2022-11-16 13:09:15.182+05:30
16,employeeTopUp,test,1234567880,8765,inin@jjj.gmail.gmail.gmail.com,uiuio,uiou,Test,iouo,2001-11-11 05:30:00+05:30,jkhkj,1,2022-11-16 13:10:52.795+05:30,2022-11-16 13:10:52.795+05:30
17,,,,,,,,,,,,,2022-11-16 15:09:54.245+05:30,2022-11-16 15:09:54.245+05:30
18,employeeTopUp,gcvfhjk,1234567890,ctfgh,cfgh@gmail.com,vhbjnk, ghbjnk,fcgvhbjnk, bhjnk,2022-11-10 05:30:00+05:30,b vbn,1,2022-11-16 15:10:53.646+05:30,2022-11-16 15:10:53.646+05:30
19,employeeTopUp, bnm,1234567890,vghjk,vghbjnkl@gmail.com,vhgbjnk,hgbjk,bhjnk,hbjnk,1997-12-01 05:30:00+05:30,buyhijo,1,2022-11-16 15:12:59.309+05:30,2022-11-16 15:12:59.309+05:30
20,employeeTopUp,nkl,1234567890,ghvbnjkm,drtfgy@gmail.com,hbjnk,hvbjkl,yguhjiobjh,hbjnk,2022-11-10 05:30:00+05:30,byuhji,1,2022-11-16 15:14:59.459+05:30,2022-11-16 15:14:59.459+05:30
21,employeeTopUp,vcfghj,1234567890,tfgyuh,rdtfg@gmail.com,vybhj,vgybh,trfgyuhi,drtfgyh,2022-11-10 05:30:00+05:30,gvhbjn,1,2022-11-16 15:17:09.777+05:30,2022-11-16 15:17:09.777+05:30
22,employeeTopUp,vbfgf,9899999990,77,mmmmmmmmm@ggg.com,77,pp,nnnn,se,2022-11-16 05:30:00+05:30,hu,1,2022-11-17 12:49:12.747+05:30,2022-11-17 12:49:12.747+05:30
23,parentInLaws,ffffgh,9876543210,65,hn@nn.nnn,76,67,werth,76,2022-11-01 05:30:00+05:30,55,1,2022-11-17 13:00:29.902+05:30,2022-11-17 13:00:29.902+05:30
24,parentInLaws,sdafertfgh,9888888888,656,nnn@nnn.nnn,55,ggg,fff,gfg,2022-11-15 05:30:00+05:30,4,1,2022-11-17 15:01:03.026+05:30,2022-11-17 15:01:03.026+05:30
25,parentInLaws,sdfgh,1234567890,fgn,qwsdfg@gmail.com,ghbjk,gybhj,wqerthyj,ybhunjk,2022-11-17 05:30:00+05:30,gybhunjk,1,2022-11-19 23:21:38.631+05:30,2022-11-19 23:21:38.631+05:30
26,employeeTopUp,HDFC ERGO,123490953,emp_009,asdfg@erty.com,A+,Permane,Aniket Pawar,Developer,2022-11-16 05:30:00+05:30,Bhandup,2,2022-11-24 12:08:09.487+05:30,2022-11-24 16:26:26.971+05:30
27,,,,,sdfg.fgh@sdfghj.com,,,,,,,,2022-11-24 16:05:09.777+05:30,2022-11-24 16:08:36.395+05:30
28,,,,,aniket.pwar@sdfghj.com,,,,,,,,2022-11-24 16:21:49.921+05:30,2022-11-24 16:23:38.152+05:30
29,employeeTopUp,HDFCEREGO,1234580061,14657,irfan.baig@sdfghj.com,Manager 02,Permanent,Test Irfan,Sr Manager,1990-03-31 05:30:00+05:30,high,1,2022-11-24 16:40:25.723+05:30,2022-11-24 16:43:59.696+05:30
30,,,,,abc@adani.com,,,,,,,,2022-11-24 17:31:16.259+05:30,2022-11-24 17:31:16.259+05:30
31,parentInLaws,HDFC ERGO,9876543210,Emp_009,aniket.pawar@sdfghj.com,A+,Probabtion,Aniket Pawar,Developer,2014-02-19 05:30:00+05:30,Bhandup,2,2022-11-24 20:13:02.89+05:30,2022-11-25 10:00:41.483+05:30
32,,,,,rahul.gupt6@sdfghj.com,,,,,,,,2022-11-24 20:14:17.427+05:30,2022-11-24 20:19:54.725+05:30
33,employeeTopUp,Test company ,9876543210,12345,drishan.dang@sdfghj.com,Test grade,Test type,Test user ,Test designation ,2018-12-12 05:30:00+05:30,Test workplace ,2,2022-11-24 21:03:05.533+05:30,2022-11-24 21:06:01.529+05:30
34,employeeTopUp,HDFC ,1234567890,esrdf,aniket.pawar@sdfghj.com,rdftghj,fghj,Aniket Pawar,esrdtfyguhj,2022-12-07 05:30:00+05:30,tfrdghjk,1,2022-11-25 10:23:37.93+05:30,2022-12-14 17:01:49.747+05:30
